duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,label
0,tcp,http,SF,181,5450,0,0,0,normal
2,tcp,ftp,REJ,0,0,0,3,0,attack
5,tcp,http,SF,600,3500,0,0,0,normal
1,icmp,eco_i,SF,0,0,0,1,0,attack
3,tcp,http,SF,400,2500,0,0,0,normal
0,tcp,ftp,REJ,0,0,0,1,0,attack
4,tcp,http,SF,500,3000,0,0,0,normal
5,tcp,ftp,REJ,0,0,0,3,0,attack
3,udp,other,S0,0,0,0,3,0,attack
0,tcp,http,SF,239,486,0,0,0,normal
0,tcp,http,SF,181,5450,0,0,0,normal
1,tcp,http,SF,150,900,0,0,0,normal
2,tcp,ftp_data,SF,120,800,0,0,0,normal
4,tcp,ftp,REJ,0,0,0,2,0,attack
3,tcp,http,SF,400,2500,0,0,0,normal
2,tcp,http,SF,300,2000,0,0,0,normal
0,tcp,http,SF,239,486,0,0,0,normal
4,tcp,ftp,REJ,0,0,0,2,0,attack
0,tcp,http,SF,181,5450,0,0,0,normal
2,icmp,ecr_i,SF,0,0,0,2,0,attack
3,udp,other,S0,0,0,0,3,0,attack
3,udp,other,S0,0,0,0,3,0,attack
2,tcp,http,SF,300,2000,0,0,0,normal
2,tcp,ftp_data,SF,120,800,0,0,0,normal
2,tcp,http,SF,300,2000,0,0,0,normal
3,tcp,ftp_data,SF,200,1000,0,0,0,normal
2,icmp,ecr_i,SF,0,0,0,2,0,attack
2,udp,other,S0,0,0,0,2,0,attack
1,tcp,ftp,REJ,0,0,0,2,0,attack
2,tcp,ftp,REJ,0,0,0,3,0,attack
1,tcp,http,SF,220,1200,0,0,0,normal
3,tcp,ftp_data,SF,200,1000,0,0,0,normal
3,tcp,http,SF,400,2500,0,0,0,normal
2,icmp,ecr_i,SF,0,0,0,2,0,attack
1,icmp,eco_i,SF,0,0,0,1,0,attack
4,tcp,http,SF,500,3000,0,0,0,normal
2,udp,other,S0,0,0,0,2,0,attack
0,tcp,ftp,REJ,0,0,0,1,0,attack
3,udp,other,S0,0,0,0,3,0,attack
1,udp,other,S0,0,0,0,1,0,attack
